そこの人、 頼み事とかありますか？	What can I do for you, stranger?
売り物を見ていってよ	See what I have for sale.
ギリシャ中から集めた逸品だ	Fine goods from all over Greece.
何かお探しかな？	Looking for something?
近くに寄って 品物をよく見ていってよ	Come, have a look at my wares.
ごきげんよう	Greetings.
こんにちは	Hello.
何か手伝いましょうか?	Can I help you?
はい?	Yes?
お願いします	Please.
お元気で	Farewell.
さようなら	Goodbye.
いらっしゃい	Shop again.
ありがとうございます	Thank you.
Hermesがご案内します	Hermes guide you.
近くに来て 品物をよく調べてよ	Come, peruse my goods.
お探しのものが 何か見つかりました？	Is there something you're looking for?
お手伝い致しましょうか？	What can I help you with?
全ての種類の 武器と鎧が揃っています	I have weapons and armor for all types.
上等な武器と鎧です	Quality weapons and armor.
はい？	Yes?
何かお忘れ物ですか？	Forgot something?
良い日ですね	Good day.
ようこそ	Welcome.
他に何かありますか？	Something else?
それでは、また	So long.
また、来てください	Come again.
さよなら	Bye.
幸運を	Good luck.
良い日ですね	Good day.
お手伝い致しましょうか？	What can I help you with?
全ての種類の杖があります	We have staffs of all sorts.
Earth, storm, nature, あとspirit、 すべて扱っています.	Earth, storm, nature and spirit - we sell to all.
魔法使いのための 上等な品物です	Fine items for magic users.
素晴らしい 魔法の装備を販売中	Fine magic equipment for sale!
はい、なんでしょう？	Yes?
魔法の装備セール中！	Magic equipment for sale.
はい、どうぞ 見ていってください	Yes, have a look.
良い一日を	Good day.
なんだい？	What?
さようなら	Goodbye.
んじゃ	Bye.
良い一日を	Good day.
また来てくださいね	Come again.
オーライ	Alright.
もし外に行くなら、 準備をしてからにするんだな。 外は危ないからな。 ここで何か買っていくといい	If you're going out there, don't go unprepared.  It's not safe!  Buy what you need here.
もし外に出るなら、 装備を整えてからにしな	If you've got to go out there, equip yourself properly.
この剣はあなたを 危機から救うでしょう	My blades will serve you in a pinch.
さて、 何がお好みでしょうか？	So, what suits your fancy?
腕と足の防具も 大事なのでお忘れなく	Don't forget armor for your arms and legs.  They're important too.
外はモンスターが うじゃうじゃいますよ。 良い武器と防具を 持っていた方が良いですよ	With those monsters everywhere, you'd better get some quality weapons and armor.
おはようさん、 友よ	Good morning, friend.
ようこそ	Welcome.
何か忘れ物でも？	Forgot something?
やあ、 こんにちは	Anything else?
さようなら、 友よ	Goodbye, my friend.
お気をつけて	Safe travels.
また来てくださいよ？	We shall see you again, I hope?
また次の機会に	Until next time.
さようなら	Goodbye.
スパルタ人たちに 支給するのに とても忙しいんだ。 手短に頼むよ、 何が欲しいんだい？	I'm busy enough supplying the Spartans.   Hurry, what do you want?
はい、 何をお求めですか？	Yes, what do you want?
冷やかしはよしてくれ。 何か買うか、 どこかに行ってくれ	No loitering please. Buy something or move on.
スパルタの武器は最高ですよ、 本当に最高です。	Our Spartan weapons are the best -- simply the best.
頼むから商品には 触れないでくれよ。 そこから見るだけにしてくれ	Please don't touch the goods – you can see them fine from there.
見ない顔だな、 何にも期待するなよ。 わかったかい？	I don't know you, so don't expect credit, you hear?
はい？	Yes?
なんだい？	What?
また君かい？	You again?
今回は何の用だい？	What is it this time?
冷やかしはやめてくれよ	No loitering.
まいど	Goodbye.
良い一日を	Good day.
それじゃ	Bye.
