ウォーフェア・マスタリー	Warfare Mastery
戦士の技術をマスターするために 肉体と精神を鍛える	Provides physical conditioning and discipline that will allow your character to master the skills of a warrior.
バトル・レイジ	Battle Rage
敵の攻撃を受ける毎にバトル・レイジ状態になる チャンスがあり 短時間 ダメージと 攻撃アビリティが増加する	Each enemy hit has a chance of sending you into a battle rage that adds bonus damage to attacks and increases Offensive Ability for a short duration.
クラッシュ・ブロウ	Crushing Blow
バトル・レイジ発動中に クリティカルヒットによる追加ダメージの チャンスが発生する	Provides a chance for attacks to cause bonus damage while in Battle Rage.
カウンター・アタック	Counter Attack
バトル・レイジ発動中に 敵の攻撃に反撃するチャンスがある	Provides a chance to counter attack an enemy after being hit in Battle Rage.
オンスロート	Onslaught
標準攻撃として使用する 攻撃が命中する毎にダメージが増加する 攻撃を続けないと急速にオンスロートの 効果はなくなる {^y}左クリックにこのスキルを割り当てよう	When used as your default weapon attack, Onslaught charges up as you hit enemies causing increased damage.  The first hit always charges Onslaught to the first level of the skill and it continues to charge until it reaches your current skill level. Onslaught dissipates rapidly when not attacking.  {^y}Assign this skill to your left mouse button.
アーダー	Ardor
前方に攻撃を加えながら勢いをつけることで 攻撃及び移動速度が上昇する	You build momentum as you drive your attack forward, attacking and moving more rapidly.
イグノア・ペイン	Ignore Pain
完全に精神を戦闘に集中することで 物理及び刺突被ダメージを無効化する	Total focus in the heat of battle allows you to ignore physical and piercing damage.
テューマルト	Tumult
二刀流で隣接する最大三体の敵を攻撃する	A Dual Wield technique that hits up to 3 adjacent enemies.
クロスカット	Cross Cut
二刀流で最大二体の敵を十字斬りで攻撃する	A Dual Wield technique that can hit up to 2 enemies with a cross-cutting scissor motion.
デュアル・ウィールド	Dual Wield
二つの武器を効果的に扱う方法を学ぶ	Learn to effectively wield two weapons and perform occasional double attacks.
ハムスタリング	Hamstring
敵の足を狙って攻撃することで 短時間 走る能力を奪い防御力を低下させる	An attack aimed at the enemy's legs reduces their ability to run and increases their vulnerability for a short duration.
ヒュー	Hew
二刀流で与えるダメージが50%増加する	A Dual Wield technique that causes increased damage by 50%.
ウェポン・ブロック	Weapon Block
